Country, Age, Budget, Travel Type
Spain, 22, 1000, Cultural
Italy, 25, 1200, Leisure
Japan, 30, 1500, Adventure
Maldives, 35, 3000, Leisure
France, 40, 2000, Cultural
Brazil, 22, 900, Adventure
Australia, 28, 2500, Leisure
Egypt, 33, 800, Cultural
Greece, 27, 1100, Adventure
USA, 45, 2800, Leisure
Turkey, 60, 1500, Leisure
Netherlands, 29, 1300, Cultural
India, 38, 700, Adventure
Sweden, 50, 2200, Cultural
Canada, 23, 1300, Adventure
Portugal, 31, 1600, Leisure
Mexico, 36, 900, Cultural
Argentina, 55, 1800, Adventure
South Korea, 25, 1400, Cultural
Finland, 42, 1700, Leisure
Namibia, 53, 2000, Adventure
UAE, 30, 2200, Leisure
Thailand, 48, 1100, Cultural
Czech Republic, 26, 1000, Adventure
Norway, 62, 3000, Leisure
Australia, 34, 1800, Adventure
Iceland, 44, 2500, Cultural
China, 58, 1400, Adventure
Vietnam, 36, 900, Leisure
Slovakia, 24, 750, Cultural
Israel, 41, 1600, Adventure
Maldives, 29, 3400, Leisure
Georgia, 39, 1300, Cultural
